task,model,rank,alpha,lr,bs,epochs,max_len,success_count,expected_count,median_acc,mean_acc,std_acc,scores
mnli,roberta-base,16,16,0.0001,32,3,128,1,1,0.8593988792664289,0.8593988792664289,0.0,[0.8593988792664289]
mnli,roberta-base,4,16,0.0001,32,3,128,1,1,0.8572592969943963,0.8572592969943963,0.0,[0.8572592969943963]
mnli,roberta-base,8,16,0.0001,32,3,128,1,1,0.8566479877738156,0.8566479877738156,0.0,[0.8566479877738156]
mnli,roberta-base,32,16,0.0001,32,3,128,1,1,0.8563423331635253,0.8563423331635253,0.0,[0.8563423331635253]
