task,model,rank,alpha,lr,bs,epochs,max_len,success_count,expected_count,median_acc,mean_acc,std_acc,scores
mnli,roberta-base,8,64,0.0001,32,3,128,1,1,0.862761079979623,0.862761079979623,0.0,[0.862761079979623]
mnli,roberta-base,8,32,0.0001,32,3,128,1,1,0.8578706062149771,0.8578706062149771,0.0,[0.8578706062149771]
mnli,roberta-base,8,16,0.0001,32,3,128,1,1,0.8566479877738156,0.8566479877738156,0.0,[0.8566479877738156]
mnli,roberta-base,8,8,0.0001,32,3,128,1,1,0.8503311258278146,0.8503311258278146,0.0,[0.8503311258278146]
